,COUNTRY_NAME,COUNTRY_CODE,INDICATOR_NAME,INDICATOR_CODE,YEAR,GDP_USD
148,Morocco,MAR,GDP (current US$),NY.GDP.MKTP.CD,1960,2037150716.3323781
151,Madagascar,MDG,GDP (current US$),NY.GDP.MKTP.CD,1960,673081724.076322
154,Mexico,MEX,GDP (current US$),NY.GDP.MKTP.CD,1960,13040000000.0
156,Middle income,MIC,GDP (current US$),NY.GDP.MKTP.CD,1960,330056012865.8593
168,Malawi,MWI,GDP (current US$),NY.GDP.MKTP.CD,1960,162956740.8651827
169,Malaysia,MYS,GDP (current US$),NY.GDP.MKTP.CD,1960,1916241996.6026394
170,North America,NAC,GDP (current US$),NY.GDP.MKTP.CD,1960,583846188346.7238
173,Niger,NER,GDP (current US$),NY.GDP.MKTP.CD,1960,449526872.56548613
174,Nigeria,NGA,GDP (current US$),NY.GDP.MKTP.CD,1960,4196092258.1548367
175,Nicaragua,NIC,GDP (current US$),NY.GDP.MKTP.CD,1960,223854666.66666663
176,Netherlands,NLD,GDP (current US$),NY.GDP.MKTP.CD,1960,12276734172.082758
177,Norway,NOR,GDP (current US$),NY.GDP.MKTP.CD,1960,5163271598.157023
178,Nepal,NPL,GDP (current US$),NY.GDP.MKTP.CD,1960,508334413.9650873
180,New Zealand,NZL,GDP (current US$),NY.GDP.MKTP.CD,1960,5485854791.970964
181,OECD members,OED,GDP (current US$),NY.GDP.MKTP.CD,1960,1080922981905.5356
184,Pakistan,PAK,GDP (current US$),NY.GDP.MKTP.CD,1960,3749265014.6997066
185,Panama,PAN,GDP (current US$),NY.GDP.MKTP.CD,1960,537147100.0
186,Peru,PER,GDP (current US$),NY.GDP.MKTP.CD,1960,2571908062.076923
187,Philippines,PHL,GDP (current US$),NY.GDP.MKTP.CD,1960,7515886650.501588
189,Papua New Guinea,PNG,GDP (current US$),NY.GDP.MKTP.CD,1960,230496032.98121637
191,Pre-demographic dividend,PRE,GDP (current US$),NY.GDP.MKTP.CD,1960,21065947418.685513
192,Puerto Rico,PRI,GDP (current US$),NY.GDP.MKTP.CD,1960,1691900000.0
194,Portugal,PRT,GDP (current US$),NY.GDP.MKTP.CD,1960,3193200404.3729734
198,Post-demographic dividend,PST,GDP (current US$),NY.GDP.MKTP.CD,1960,1047801266441.3257
203,Rwanda,RWA,GDP (current US$),NY.GDP.MKTP.CD,1960,119000024.0
204,South Asia,SAS,GDP (current US$),NY.GDP.MKTP.CD,1960,47170699606.9233
206,Sudan,SDN,GDP (current US$),NY.GDP.MKTP.CD,1960,1307333333.3333335
207,Senegal,SEN,GDP (current US$),NY.GDP.MKTP.CD,1960,1003692374.5578889
208,Singapore,SGP,GDP (current US$),NY.GDP.MKTP.CD,1960,704756304.7171044
210,Sierra Leone,SLE,GDP (current US$),NY.GDP.MKTP.CD,1960,322009471.56704026
213,Somalia,SOM,GDP (current US$),NY.GDP.MKTP.CD,1960,180459936.7760253
215,Sub-Saharan Africa (excluding high income),SSA,GDP (current US$),NY.GDP.MKTP.CD,1960,29946997989.552956
217,Sub-Saharan Africa,SSF,GDP (current US$),NY.GDP.MKTP.CD,1960,29958061944.63016
220,Suriname,SUR,GDP (current US$),NY.GDP.MKTP.CD,1960,99650000.0
223,Sweden,SWE,GDP (current US$),NY.GDP.MKTP.CD,1960,15822585033.576399
224,Eswatini,SWZ,GDP (current US$),NY.GDP.MKTP.CD,1960,35076158.47683046
226,Seychelles,SYC,GDP (current US$),NY.GDP.MKTP.CD,1960,12012012.012012012
227,Syrian Arab Republic,SYR,GDP (current US$),NY.GDP.MKTP.CD,1960,857704413.4078212
229,Chad,TCD,GDP (current US$),NY.GDP.MKTP.CD,1960,313582729.4264853
230,East Asia & Pacific (IDA & IBRD countries),TEA,GDP (current US$),NY.GDP.MKTP.CD,1960,81224998644.52592
232,Togo,TGO,GDP (current US$),NY.GDP.MKTP.CD,1960,121128073.11402227
233,Thailand,THA,GDP (current US$),NY.GDP.MKTP.CD,1960,2760747471.886242
236,Latin America & the Caribbean (IDA & IBRD countries),TLA,GDP (current US$),NY.GDP.MKTP.CD,1960,79494964852.98586
240,South Asia (IDA & IBRD),TSA,GDP (current US$),NY.GDP.MKTP.CD,1960,47170699606.9233
241,Sub-Saharan Africa (IDA & IBRD countries),TSS,GDP (current US$),NY.GDP.MKTP.CD,1960,29958061944.630173
242,Trinidad and Tobago,TTO,GDP (current US$),NY.GDP.MKTP.CD,1960,535670127.74893546
244,Turkey,TUR,GDP (current US$),NY.GDP.MKTP.CD,1960,13995067817.509249
247,Uganda,UGA,GDP (current US$),NY.GDP.MKTP.CD,1960,423008385.7442348
249,Upper middle income,UMC,GDP (current US$),NY.GDP.MKTP.CD,1960,244202967039.05838
250,Uruguay,URY,GDP (current US$),NY.GDP.MKTP.CD,1960,1242289239.2049348
251,United States,USA,GDP (current US$),NY.GDP.MKTP.CD,1960,543300000000.0
253,St. Vincent and the Grenadines,VCT,GDP (current US$),NY.GDP.MKTP.CD,1960,13066557.778685179
254,"Venezuela, RB",VEN,GDP (current US$),NY.GDP.MKTP.CD,1960,7779090909.090909
259,World,WLD,GDP (current US$),NY.GDP.MKTP.CD,1960,1390297773982.9507
263,South Africa,ZAF,GDP (current US$),NY.GDP.MKTP.CD,1960,7575396973.022878
264,Zambia,ZMB,GDP (current US$),NY.GDP.MKTP.CD,1960,713000000.0
265,Zimbabwe,ZWE,GDP (current US$),NY.GDP.MKTP.CD,1960,1052990399.9999999
267,Africa Eastern and Southern,AFE,GDP (current US$),NY.GDP.MKTP.CD,1961,20509450944.849934
268,Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,1961,548888895.5555556
269,Africa Western and Central,AFW,GDP (current US$),NY.GDP.MKTP.CD,1961,11128050589.282082
279,Australia,AUS,GDP (current US$),NY.GDP.MKTP.CD,1961,19683055213.34976
280,Austria,AUT,GDP (current US$),NY.GDP.MKTP.CD,1961,7311749633.3622875
282,Burundi,BDI,GDP (current US$),NY.GDP.MKTP.CD,1961,202999992.0
283,Belgium,BEL,GDP (current US$),NY.GDP.MKTP.CD,1961,12400145221.594988
284,Benin,BEN,GDP (current US$),NY.GDP.MKTP.CD,1961,235668222.42998353
285,Burkina Faso,BFA,GDP (current US$),NY.GDP.MKTP.CD,1961,350247237.1168405
286,Bangladesh,BGD,GDP (current US$),NY.GDP.MKTP.CD,1961,4817580183.601554
289,"Bahamas, The",BHS,GDP (current US$),NY.GDP.MKTP.CD,1961,190098039.21568626
292,Belize,BLZ,GDP (current US$),NY.GDP.MKTP.CD,1961,29964370.712585747
293,Bermuda,BMU,GDP (current US$),NY.GDP.MKTP.CD,1961,89249986.69728948
294,Bolivia,BOL,GDP (current US$),NY.GDP.MKTP.CD,1961,406684585.71929413
295,Brazil,BRA,GDP (current US$),NY.GDP.MKTP.CD,1961,17275940449.383743
299,Botswana,BWA,GDP (current US$),NY.GDP.MKTP.CD,1961,32902336.644746047
300,Central African Republic,CAF,GDP (current US$),NY.GDP.MKTP.CD,1961,123134584.4676733
301,Canada,CAN,GDP (current US$),NY.GDP.MKTP.CD,1961,40934952063.94684
303,Switzerland,CHE,GDP (current US$),NY.GDP.MKTP.CD,1961,10712712465.052166
305,Chile,CHL,GDP (current US$),NY.GDP.MKTP.CD,1961,4609727272.727272
306,China,CHN,GDP (current US$),NY.GDP.MKTP.CD,1961,50056868957.67324
307,Cote d'Ivoire,CIV,GDP (current US$),NY.GDP.MKTP.CD,1961,618245639.2213817
308,Cameroon,CMR,GDP (current US$),NY.GDP.MKTP.CD,1961,652777613.6436379
309,"Congo, Dem. Rep.",COD,GDP (current US$),NY.GDP.MKTP.CD,1961,3086746857.142857
310,"Congo, Rep.",COG,GDP (current US$),NY.GDP.MKTP.CD,1961,151675739.16060254
311,Colombia,COL,GDP (current US$),NY.GDP.MKTP.CD,1961,4540447761.19403
314,Costa Rica,CRI,GDP (current US$),NY.GDP.MKTP.CD,1961,490325181.61427474
315,Caribbean small states,CSS,GDP (current US$),NY.GDP.MKTP.CD,1961,2038301741.0175786
325,Dominican Republic,DOM,GDP (current US$),NY.GDP.MKTP.CD,1961,654100200.0
326,Algeria,DZA,GDP (current US$),NY.GDP.MKTP.CD,1961,2434727329.808997
327,East Asia & Pacific (excluding high income),EAP,GDP (current US$),NY.GDP.MKTP.CD,1961,71608358396.30896
328,Early-demographic dividend,EAR,GDP (current US$),NY.GDP.MKTP.CD,1961,157588411472.04123
329,East Asia & Pacific,EAS,GDP (current US$),NY.GDP.MKTP.CD,1961,155148067728.83292
332,Ecuador,ECU,GDP (current US$),NY.GDP.MKTP.CD,1961,1753850416.7082589
334,Euro area,EMU,GDP (current US$),NY.GDP.MKTP.CD,1961,268965157140.85046
336,Spain,ESP,GDP (current US$),NY.GDP.MKTP.CD,1961,13834300571.484875
341,Finland,FIN,GDP (current US$),NY.GDP.MKTP.CD,1961,5921659485.032839
342,Fiji,FJI,GDP (current US$),NY.GDP.MKTP.CD,1961,116987784.91373882
343,France,FRA,GDP (current US$),NY.GDP.MKTP.CD,1961,67461644222.03518
346,Gabon,GAB,GDP (current US$),NY.GDP.MKTP.CD,1961,167637908.48980328
347,United Kingdom,GBR,GDP (current US$),NY.GDP.MKTP.CD,1961,77741965703.35442
349,Ghana,GHA,GDP (current US$),NY.GDP.MKTP.CD,1961,1302674264.1991496
355,Greece,GRC,GDP (current US$),NY.GDP.MKTP.CD,1961,4961400439.317218
358,Guatemala,GTM,GDP (current US$),NY.GDP.MKTP.CD,1961,1076699900.0
360,Guyana,GUY,GDP (current US$),NY.GDP.MKTP.CD,1961,185848451.26290616
361,High income,HIC,GDP (current US$),NY.GDP.MKTP.CD,1961,1128187784514.9868
362,"Hong Kong SAR, China",HKG,GDP (current US$),NY.GDP.MKTP.CD,1961,1383681651.1377556
363,Honduras,HND,GDP (current US$),NY.GDP.MKTP.CD,1961,356200000.0
364,Heavily indebted poor countries (HIPC),HPC,GDP (current US$),NY.GDP.MKTP.CD,1961,17870143016.854347
366,Haiti,HTI,GDP (current US$),NY.GDP.MKTP.CD,1961,271066000.0
368,IBRD only,IBD,GDP (current US$),NY.GDP.MKTP.CD,1961,309473578743.8724
369,IDA & IBRD total,IBT,GDP (current US$),NY.GDP.MKTP.CD,1961,349087968206.9772
370,IDA total,IDA,GDP (current US$),NY.GDP.MKTP.CD,1961,39171910997.71461
371,IDA blend,IDB,GDP (current US$),NY.GDP.MKTP.CD,1961,12910168928.610981
373,IDA only,IDX,GDP (current US$),NY.GDP.MKTP.CD,1961,27069024091.700874
375,India,IND,GDP (current US$),NY.GDP.MKTP.CD,1961,39232435784.09459
377,Ireland,IRL,GDP (current US$),NY.GDP.MKTP.CD,1961,2088012282.3566668
378,"Iran, Islamic Rep.",IRN,GDP (current US$),NY.GDP.MKTP.CD,1961,4426949094.840303
380,Iceland,ISL,GDP (current US$),NY.GDP.MKTP.CD,1961,253885656.32925302
381,Israel,ISR,GDP (current US$),NY.GDP.MKTP.CD,1961,3138500000.0
382,Italy,ITA,GDP (current US$),NY.GDP.MKTP.CD,1961,44842760293.19238
383,Jamaica,JAM,GDP (current US$),NY.GDP.MKTP.CD,1961,748028839.4232115
385,Japan,JPN,GDP (current US$),NY.GDP.MKTP.CD,1961,53508617739.37778
387,Kenya,KEN,GDP (current US$),NY.GDP.MKTP.CD,1961,792959472.1390238
389,Cambodia,KHM,GDP (current US$),NY.GDP.MKTP.CD,1961,642857134.2857143
391,St. Kitts and Nevis,KNA,GDP (current US$),NY.GDP.MKTP.CD,1961,12483229.306422448
392,"Korea, Rep.",KOR,GDP (current US$),NY.GDP.MKTP.CD,1961,2417558289.3665576
394,Latin America & Caribbean (excluding high income),LAC,GDP (current US$),NY.GDP.MKTP.CD,1961,72140210276.45355
400,Latin America & Caribbean,LCN,GDP (current US$),NY.GDP.MKTP.CD,1961,89564090129.03204
404,Sri Lanka,LKA,GDP (current US$),NY.GDP.MKTP.CD,1961,1444327731.092437
405,Lower middle income,LMC,GDP (current US$),NY.GDP.MKTP.CD,1961,96868817777.3759
406,Low & middle income,LMY,GDP (current US$),NY.GDP.MKTP.CD,1961,328874714554.8166
407,Lesotho,LSO,GDP (current US$),NY.GDP.MKTP.CD,1961,35699286.014279716
408,Late-demographic dividend,LTE,GDP (current US$),NY.GDP.MKTP.CD,1961,173690898612.66788
410,Luxembourg,LUX,GDP (current US$),NY.GDP.MKTP.CD,1961,704145671.350213
414,Morocco,MAR,GDP (current US$),NY.GDP.MKTP.CD,1961,2025689536.6070545
417,Madagascar,MDG,GDP (current US$),NY.GDP.MKTP.CD,1961,699161943.8571029
420,Mexico,MEX,GDP (current US$),NY.GDP.MKTP.CD,1961,14160000000.0
422,Middle income,MIC,GDP (current US$),NY.GDP.MKTP.CD,1961,316326587845.13153
426,Myanmar,MMR,GDP (current US$),NY.GDP.MKTP.CD,1961,584351384.445672
432,Mauritania,MRT,GDP (current US$),NY.GDP.MKTP.CD,1961,159213140.00328618
434,Malawi,MWI,GDP (current US$),NY.GDP.MKTP.CD,1961,174576508.4698306
435,Malaysia,MYS,GDP (current US$),NY.GDP.MKTP.CD,1961,1901868548.2817197
436,North America,NAC,GDP (current US$),NY.GDP.MKTP.CD,1961,604324202050.6443
439,Niger,NER,GDP (current US$),NY.GDP.MKTP.CD,1961,485785234.94037557
440,Nigeria,NGA,GDP (current US$),NY.GDP.MKTP.CD,1961,4467200335.993279
441,Nicaragua,NIC,GDP (current US$),NY.GDP.MKTP.CD,1961,240524723.42857143
442,Netherlands,NLD,GDP (current US$),NY.GDP.MKTP.CD,1961,13493833739.99494
443,Norway,NOR,GDP (current US$),NY.GDP.MKTP.CD,1961,5632460936.545755
444,Nepal,NPL,GDP (current US$),NY.GDP.MKTP.CD,1961,531959561.62226015
446,New Zealand,NZL,GDP (current US$),NY.GDP.MKTP.CD,1961,5670064168.2177305
447,OECD members,OED,GDP (current US$),NY.GDP.MKTP.CD,1961,1136640781343.8572
450,Pakistan,PAK,GDP (current US$),NY.GDP.MKTP.CD,1961,4118647627.0474596
451,Panama,PAN,GDP (current US$),NY.GDP.MKTP.CD,1961,599026300.0
452,Peru,PER,GDP (current US$),NY.GDP.MKTP.CD,1961,2899654840.3656716
453,Philippines,PHL,GDP (current US$),NY.GDP.MKTP.CD,1961,8171186334.444506
455,Papua New Guinea,PNG,GDP (current US$),NY.GDP.MKTP.CD,1961,244832035.03252622
457,Pre-demographic dividend,PRE,GDP (current US$),NY.GDP.MKTP.CD,1961,21664470801.026688
458,Puerto Rico,PRI,GDP (current US$),NY.GDP.MKTP.CD,1961,1865100000.0
460,Portugal,PRT,GDP (current US$),NY.GDP.MKTP.CD,1961,3417516639.375963
464,Post-demographic dividend,PST,GDP (current US$),NY.GDP.MKTP.CD,1961,1107849655971.483
469,Rwanda,RWA,GDP (current US$),NY.GDP.MKTP.CD,1961,122000016.0
470,South Asia,SAS,GDP (current US$),NY.GDP.MKTP.CD,1961,50331770780.813934
472,Sudan,SDN,GDP (current US$),NY.GDP.MKTP.CD,1961,1419333333.3333335
473,Senegal,SEN,GDP (current US$),NY.GDP.MKTP.CD,1961,1058975265.5888301
474,Singapore,SGP,GDP (current US$),NY.GDP.MKTP.CD,1961,764634783.7449367
476,Sierra Leone,SLE,GDP (current US$),NY.GDP.MKTP.CD,1961,327834680.5571025
479,Somalia,SOM,GDP (current US$),NY.GDP.MKTP.CD,1961,191659914.37603426
481,Sub-Saharan Africa (excluding high income),SSA,GDP (current US$),NY.GDP.MKTP.CD,1961,31117553148.887783
483,Sub-Saharan Africa,SSF,GDP (current US$),NY.GDP.MKTP.CD,1961,31128039841.467815
486,Suriname,SUR,GDP (current US$),NY.GDP.MKTP.CD,1961,107700000.0
489,Sweden,SWE,GDP (current US$),NY.GDP.MKTP.CD,1961,17212686614.5726
490,Eswatini,SWZ,GDP (current US$),NY.GDP.MKTP.CD,1961,43025199.49601008
492,Seychelles,SYC,GDP (current US$),NY.GDP.MKTP.CD,1961,11592011.592011593
493,Syrian Arab Republic,SYR,GDP (current US$),NY.GDP.MKTP.CD,1961,945244972.0670391
495,Chad,TCD,GDP (current US$),NY.GDP.MKTP.CD,1961,333975338.83416015
496,East Asia & Pacific (IDA & IBRD countries),TEA,GDP (current US$),NY.GDP.MKTP.CD,1961,71507028612.35701
498,Togo,TGO,GDP (current US$),NY.GDP.MKTP.CD,1961,126396469.70705794
499,Thailand,THA,GDP (current US$),NY.GDP.MKTP.CD,1961,3034043574.0607076
502,Latin America & the Caribbean (IDA & IBRD countries),TLA,GDP (current US$),NY.GDP.MKTP.CD,1961,84140069282.35103
506,South Asia (IDA & IBRD),TSA,GDP (current US$),NY.GDP.MKTP.CD,1961,50331770780.813934
507,Sub-Saharan Africa (IDA & IBRD countries),TSS,GDP (current US$),NY.GDP.MKTP.CD,1961,31128039841.46783
508,Trinidad and Tobago,TTO,GDP (current US$),NY.GDP.MKTP.CD,1961,584961208.6565945
510,Turkey,TUR,GDP (current US$),NY.GDP.MKTP.CD,1961,7988888888.888888
513,Uganda,UGA,GDP (current US$),NY.GDP.MKTP.CD,1961,441524109.0146751
515,Upper middle income,UMC,GDP (current US$),NY.GDP.MKTP.CD,1961,219626032884.46188
516,Uruguay,URY,GDP (current US$),NY.GDP.MKTP.CD,1961,1547388781.4313347
517,United States,USA,GDP (current US$),NY.GDP.MKTP.CD,1961,563300000000.0
519,St. Vincent and the Grenadines,VCT,GDP (current US$),NY.GDP.MKTP.CD,1961,13999883.334305547
520,"Venezuela, RB",VEN,GDP (current US$),NY.GDP.MKTP.CD,1961,8189090909.090909
525,World,WLD,GDP (current US$),NY.GDP.MKTP.CD,1961,1446418444335.7354
529,South Africa,ZAF,GDP (current US$),NY.GDP.MKTP.CD,1961,7972996814.149934
530,Zambia,ZMB,GDP (current US$),NY.GDP.MKTP.CD,1961,696285714.2857143
531,Zimbabwe,ZWE,GDP (current US$),NY.GDP.MKTP.CD,1961,1096646600.0
533,Africa Eastern and Southern,AFE,GDP (current US$),NY.GDP.MKTP.CD,1962,22350432990.85816
534,Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,1962,546666677.7777778
535,Africa Western and Central,AFW,GDP (current US$),NY.GDP.MKTP.CD,1962,11943353288.47667
541,Argentina,ARG,GDP (current US$),NY.GDP.MKTP.CD,1962,24450604877.608116
545,Australia,AUS,GDP (current US$),NY.GDP.MKTP.CD,1962,19922723709.261955
546,Austria,AUT,GDP (current US$),NY.GDP.MKTP.CD,1962,7756110210.119664
548,Burundi,BDI,GDP (current US$),NY.GDP.MKTP.CD,1962,213500006.0
549,Belgium,BEL,GDP (current US$),NY.GDP.MKTP.CD,1962,13264015675.319344
550,Benin,BEN,GDP (current US$),NY.GDP.MKTP.CD,1962,236434906.75426987
551,Burkina Faso,BFA,GDP (current US$),NY.GDP.MKTP.CD,1962,379567023.3403084
552,Bangladesh,BGD,GDP (current US$),NY.GDP.MKTP.CD,1962,5081413339.786349
555,"Bahamas, The",BHS,GDP (current US$),NY.GDP.MKTP.CD,1962,212254901.96078432
558,Belize,BLZ,GDP (current US$),NY.GDP.MKTP.CD,1962,31856922.86154277
559,Bermuda,BMU,GDP (current US$),NY.GDP.MKTP.CD,1962,94149985.96694459
560,Bolivia,BOL,GDP (current US$),NY.GDP.MKTP.CD,1962,444665186.39710176
561,Brazil,BRA,GDP (current US$),NY.GDP.MKTP.CD,1962,19231747851.533188
565,Botswana,BWA,GDP (current US$),NY.GDP.MKTP.CD,1962,35643207.626524605
566,Central African Republic,CAF,GDP (current US$),NY.GDP.MKTP.CD,1962,124482748.9379174
567,Canada,CAN,GDP (current US$),NY.GDP.MKTP.CD,1962,42227447631.9159
569,Switzerland,CHE,GDP (current US$),NY.GDP.MKTP.CD,1962,11879982758.561916
571,Chile,CHL,GDP (current US$),NY.GDP.MKTP.CD,1962,5416272727.272727
572,China,CHN,GDP (current US$),NY.GDP.MKTP.CD,1962,47209359005.60565
573,Cote d'Ivoire,CIV,GDP (current US$),NY.GDP.MKTP.CD,1962,645284344.6841179
574,Cameroon,CMR,GDP (current US$),NY.GDP.MKTP.CD,1962,694247725.5372041
575,"Congo, Dem. Rep.",COD,GDP (current US$),NY.GDP.MKTP.CD,1962,3779841428.571429
576,"Congo, Rep.",COG,GDP (current US$),NY.GDP.MKTP.CD,1962,166521239.86331046
577,Colombia,COL,GDP (current US$),NY.GDP.MKTP.CD,1962,4955543963.368689
580,Costa Rica,CRI,GDP (current US$),NY.GDP.MKTP.CD,1962,479180824.34850603
581,Caribbean small states,CSS,GDP (current US$),NY.GDP.MKTP.CD,1962,2153895647.5112295
